#i;ra;ec;corners
139;1.400000e+01;-7.200000e+01;[[12.000000, -74.000000], [16.000000,-74.000000], [16.000000,-70.000000], [12.000000, -70.000000]]
140;1.400000e+01;-6.800000e+01;[[12.000000, -70.000000], [16.000000,-70.000000], [16.000000,-66.000000], [12.000000, -66.000000]]
141;1.400000e+01;-6.400000e+01;[[12.000000, -66.000000], [16.000000,-66.000000], [16.000000,-62.000000], [12.000000, -62.000000]]
142;1.400000e+01;-6.000000e+01;[[12.000000, -62.000000], [16.000000,-62.000000], [16.000000,-58.000000], [12.000000, -58.000000]]
143;1.400000e+01;-5.600000e+01;[[12.000000, -58.000000], [16.000000,-58.000000], [16.000000,-54.000000], [12.000000, -54.000000]]
144;1.400000e+01;-5.200000e+01;[[12.000000, -54.000000], [16.000000,-54.000000], [16.000000,-50.000000], [12.000000, -50.000000]]
145;1.400000e+01;-4.800000e+01;[[12.000000, -50.000000], [16.000000,-50.000000], [16.000000,-46.000000], [12.000000, -46.000000]]
146;1.400000e+01;-4.400000e+01;[[12.000000, -46.000000], [16.000000,-46.000000], [16.000000,-42.000000], [12.000000, -42.000000]]
147;1.400000e+01;-4.000000e+01;[[12.000000, -42.000000], [16.000000,-42.000000], [16.000000,-38.000000], [12.000000, -38.000000]]
148;1.400000e+01;-3.600000e+01;[[12.000000, -38.000000], [16.000000,-38.000000], [16.000000,-34.000000], [12.000000, -34.000000]]
149;1.400000e+01;-3.200000e+01;[[12.000000, -34.000000], [16.000000,-34.000000], [16.000000,-30.000000], [12.000000, -30.000000]]
150;1.400000e+01;-2.800000e+01;[[12.000000, -30.000000], [16.000000,-30.000000], [16.000000,-26.000000], [12.000000, -26.000000]]
151;1.400000e+01;-2.400000e+01;[[12.000000, -26.000000], [16.000000,-26.000000], [16.000000,-22.000000], [12.000000, -22.000000]]
152;1.400000e+01;-2.000000e+01;[[12.000000, -22.000000], [16.000000,-22.000000], [16.000000,-18.000000], [12.000000, -18.000000]]
153;1.400000e+01;-1.600000e+01;[[12.000000, -18.000000], [16.000000,-18.000000], [16.000000,-14.000000], [12.000000, -14.000000]]
154;1.400000e+01;-1.200000e+01;[[12.000000, -14.000000], [16.000000,-14.000000], [16.000000,-10.000000], [12.000000, -10.000000]]
155;1.400000e+01;-8.000000e+00;[[12.000000, -10.000000], [16.000000,-10.000000], [16.000000,-6.000000], [12.000000, -6.000000]]
156;1.400000e+01;-4.000000e+00;[[12.000000, -6.000000], [16.000000,-6.000000], [16.000000,-2.000000], [12.000000, -2.000000]]
157;1.400000e+01;0.000000e+00;[[12.000000, -2.000000], [16.000000,-2.000000], [16.000000,2.000000], [12.000000, 2.000000]]
158;1.400000e+01;4.000000e+00;[[12.000000, 2.000000], [16.000000,2.000000], [16.000000,6.000000], [12.000000, 6.000000]]
159;1.400000e+01;8.000000e+00;[[12.000000, 6.000000], [16.000000,6.000000], [16.000000,10.000000], [12.000000, 10.000000]]
160;1.400000e+01;1.200000e+01;[[12.000000, 10.000000], [16.000000,10.000000], [16.000000,14.000000], [12.000000, 14.000000]]
161;1.400000e+01;1.600000e+01;[[12.000000, 14.000000], [16.000000,14.000000], [16.000000,18.000000], [12.000000, 18.000000]]
162;1.400000e+01;2.000000e+01;[[12.000000, 18.000000], [16.000000,18.000000], [16.000000,22.000000], [12.000000, 22.000000]]
163;1.400000e+01;2.400000e+01;[[12.000000, 22.000000], [16.000000,22.000000], [16.000000,26.000000], [12.000000, 26.000000]]
164;1.400000e+01;2.800000e+01;[[12.000000, 26.000000], [16.000000,26.000000], [16.000000,30.000000], [12.000000, 30.000000]]
165;1.400000e+01;3.200000e+01;[[12.000000, 30.000000], [16.000000,30.000000], [16.000000,34.000000], [12.000000, 34.000000]]
166;1.400000e+01;3.600000e+01;[[12.000000, 34.000000], [16.000000,34.000000], [16.000000,38.000000], [12.000000, 38.000000]]
167;1.400000e+01;4.000000e+01;[[12.000000, 38.000000], [16.000000,38.000000], [16.000000,42.000000], [12.000000, 42.000000]]
168;1.400000e+01;4.400000e+01;[[12.000000, 42.000000], [16.000000,42.000000], [16.000000,46.000000], [12.000000, 46.000000]]
169;1.400000e+01;4.800000e+01;[[12.000000, 46.000000], [16.000000,46.000000], [16.000000,50.000000], [12.000000, 50.000000]]
170;1.400000e+01;5.200000e+01;[[12.000000, 50.000000], [16.000000,50.000000], [16.000000,54.000000], [12.000000, 54.000000]]
171;1.400000e+01;5.600000e+01;[[12.000000, 54.000000], [16.000000,54.000000], [16.000000,58.000000], [12.000000, 58.000000]]
172;1.400000e+01;6.000000e+01;[[12.000000, 58.000000], [16.000000,58.000000], [16.000000,62.000000], [12.000000, 62.000000]]
173;1.400000e+01;6.400000e+01;[[12.000000, 62.000000], [16.000000,62.000000], [16.000000,66.000000], [12.000000, 66.000000]]
174;1.400000e+01;6.800000e+01;[[12.000000, 66.000000], [16.000000,66.000000], [16.000000,70.000000], [12.000000, 70.000000]]
175;1.400000e+01;7.200000e+01;[[12.000000, 70.000000], [16.000000,70.000000], [16.000000,74.000000], [12.000000, 74.000000]]
176;1.400000e+01;7.600000e+01;[[12.000000, 74.000000], [16.000000,74.000000], [16.000000,78.000000], [12.000000, 78.000000]]
177;1.400000e+01;8.000000e+01;[[12.000000, 78.000000], [16.000000,78.000000], [16.000000,82.000000], [12.000000, 82.000000]]
178;1.400000e+01;8.400000e+01;[[12.000000, 82.000000], [16.000000,82.000000], [16.000000,86.000000], [12.000000, 86.000000]]
179;1.400000e+01;8.800000e+01;[[12.000000, 86.000000], [16.000000,86.000000], [16.000000,90.000000], [12.000000, 90.000000]]
180;1.800000e+01;-8.800000e+01;[[16.000000, -90.000000], [20.000000,-90.000000], [20.000000,-86.000000], [16.000000, -86.000000]]
181;1.800000e+01;-8.400000e+01;[[16.000000, -86.000000], [20.000000,-86.000000], [20.000000,-82.000000], [16.000000, -82.000000]]
182;1.800000e+01;-8.000000e+01;[[16.000000, -82.000000], [20.000000,-82.000000], [20.000000,-78.000000], [16.000000, -78.000000]]
183;1.800000e+01;-7.600000e+01;[[16.000000, -78.000000], [20.000000,-78.000000], [20.000000,-74.000000], [16.000000, -74.000000]]
184;1.800000e+01;-7.200000e+01;[[16.000000, -74.000000], [20.000000,-74.000000], [20.000000,-70.000000], [16.000000, -70.000000]]
185;1.800000e+01;-6.800000e+01;[[16.000000, -70.000000], [20.000000,-70.000000], [20.000000,-66.000000], [16.000000, -66.000000]]
186;1.800000e+01;-6.400000e+01;[[16.000000, -66.000000], [20.000000,-66.000000], [20.000000,-62.000000], [16.000000, -62.000000]]
